"mode","prepost","pid3","pid_strong","pid_lean","pid7","sp_serv","sp_serv_biden","sp_serv_trump","jobs_living","jobs_living_biden","jobs_living_trump","envir_business","envir_business_biden","envir_business_trump","abortion","abortion_salience","abortion_biden","abortion_trump","bible","adjust_change","family_ties","covid_approval","covid_response_speed","mail_in_attitude","police_treat","bidenft","trumpft","bidenft_post","trumpft_post","pocket","repro","votepres","turnout","mail_in","stateFIPS","attention_poli","age","marital","educ","educ5","race","gender","income","ideology","retro","religion","union","trans","immigration","gun_diff","offensive_language","harassment","no_children","arrested","feminist","flag","shark","family_importance"
3,3,2,1,NA,7,1,7,4,7,1,5,7,1,7,2,5,4,2,3,3,1,1,3,7,4,0,100,0,100,3,3,NA,NA,-1,40,2,46,4,6,4,3,1,21,6,3,2,2,1,1,3,4,3,1,2,3,1,2,1
3,3,NA,NA,2,4,3,5,4,5,2,6,NA,1,7,4,5,4,2,3,3,4,3,3,7,4,0,0,15,15,5,3,NA,1,-1,16,4,37,1,3,3,4,2,13,4,3,5,2,5,3,3,3,3,0,2,3,1,2,4
3,3,3,NA,3,3,6,4,1,4,4,7,1,2,7,4,5,4,2,3,1,5,4,5,2,1,65,0,85,0,3,5,1,1,-1,51,1,40,1,2,2,1,2,17,2,5,3,2,6,4,1,2,2,0,2,1,2,2,5
3,3,2,2,NA,6,7,7,3,7,6,1,1,2,7,1,4,1,4,1,2,2,4,4,4,4,70,15,100,60,3,5,1,1,-1,6,2,41,1,4,3,4,1,7,3,5,1,2,2,4,3,2,3,0,2,3,2,2,2
3,3,3,NA,2,4,2,7,2,7,1,7,4,1,4,3,5,4,2,2,4,2,3,3,7,4,15,85,0,90,3,5,2,1,-1,8,2,72,3,8,5,5,1,22,5,5,4,2,1,1,3,2,3,0,2,3,2,2,2
3,3,3,NA,3,3,NA,5,5,4,3,7,NA,1,7,4,2,4,1,3,3,3,4,5,4,2,85,0,100,0,3,3,1,1,-1,48,1,71,4,3,3,1,2,3,4,3,3,2,4,4,1,2,3,0,2,3,2,2,3
3,3,2,2,NA,6,7,5,5,7,2,7,5,1,4,3,3,4,3,3,1,1,1,5,4,4,50,75,0,70,5,3,2,1,-1,55,4,37,1,4,3,1,2,4,4,3,5,2,2,1,1,4,2,0,1,3,1,2,1
3,3,2,2,NA,6,7,7,7,7,7,7,NA,NA,7,4,2,1,1,1,1,1,1,3,4,7,50,100,50,0,5,3,NA,NA,-1,28,4,45,1,2,2,1,2,3,NA,3,5,2,6,1,1,4,3,0,2,3,2,2,1
3,3,3,NA,2,4,6,6,5,NA,2,6,NA,4,4,4,3,4,4,1,2,3,4,4,4,1,85,0,85,0,3,3,1,NA,2,4,3,70,1,2,2,1,2,10,NA,3,4,2,2,2,1,2,2,0,2,3,2,2,3
3,3,1,2,NA,2,4,4,1,NA,1,7,NA,1,5,4,3,4,2,NA,2,3,4,5,6,2,85,0,70,30,4,5,1,1,-1,6,2,43,5,4,3,3,1,11,NA,5,4,2,4,4,2,3,2,0,1,3,1,2,3
3,3,1,1,NA,1,7,7,7,1,1,1,1,1,1,1,5,1,1,1,2,2,4,5,4,1,100,0,100,0,2,3,1,1,-1,24,4,37,1,2,2,3,2,9,NA,3,1,2,1,4,1,1,2,0,2,2,2,2,2
3,3,1,2,NA,2,NA,4,4,4,4,7,1,1,7,2,4,2,1,2,2,2,4,5,4,2,60,0,70,0,1,3,1,1,-1,55,4,55,1,2,2,1,1,18,4,3,2,2,4,2,1,3,3,0,2,3,2,2,2
3,3,2,1,NA,7,NA,7,7,4,4,4,4,4,3,4,3,3,2,2,3,3,2,4,4,4,0,100,0,100,4,3,2,1,-1,41,2,30,6,2,2,1,2,1,6,3,4,2,1,1,1,4,1,0,2,3,2,2,3
3,3,1,2,NA,2,4,5,1,4,3,7,1,2,7,4,3,4,1,NA,4,2,4,5,2,1,85,0,85,0,4,5,1,NA,2,51,1,38,1,7,5,4,1,21,3,5,3,2,5,4,1,1,2,0,2,1,2,2,2
3,3,3,NA,3,3,7,5,7,1,1,1,NA,5,4,4,4,4,2,1,2,2,2,3,2,4,60,40,70,40,3,3,NA,NA,-1,37,4,41,4,3,3,2,2,3,4,3,1,2,1,1,1,1,2,0,2,3,2,2,2
3,3,3,NA,1,5,4,1,5,4,1,6,NA,1,6,3,3,4,1,1,5,3,2,3,7,4,0,100,0,100,3,5,NA,NA,-1,16,2,66,1,3,3,3,1,7,6,5,3,2,1,1,2,4,2,0,2,3,1,2,3
3,3,3,NA,3,3,4,5,1,5,3,7,3,2,7,4,1,4,2,2,2,2,4,5,1,1,60,0,60,0,3,5,1,1,-1,25,1,54,1,6,4,1,1,22,3,5,5,2,4,4,3,3,1,0,2,1,1,2,2
3,3,1,1,NA,1,5,5,2,3,2,7,3,2,7,4,3,4,2,2,4,1,4,5,4,2,85,0,85,0,3,4,1,NA,2,33,2,55,1,6,4,1,1,20,3,4,3,1,2,4,1,1,3,0,2,1,1,2,1
3,3,1,1,NA,1,4,6,2,6,5,7,4,3,7,4,5,4,1,2,2,4,4,5,1,4,85,15,85,15,3,5,1,1,-1,32,3,62,1,6,4,1,2,NA,2,5,1,2,5,4,1,2,2,1,2,3,2,2,4
3,3,1,2,NA,2,4,4,2,4,3,6,4,3,6,2,5,4,2,1,2,2,3,4,1,1,70,15,85,0,3,3,1,1,-1,55,2,80,3,2,2,1,2,5,3,3,1,2,5,4,1,2,3,0,2,3,2,2,2
3,3,2,1,NA,7,4,7,5,7,2,7,3,1,5,4,3,2,4,2,4,2,1,3,7,2,0,95,0,95,3,5,NA,NA,-1,42,2,31,6,7,5,3,1,12,6,5,3,2,1,1,3,4,2,1,2,3,1,2,2
3,3,1,1,NA,1,7,7,7,2,2,2,2,3,7,3,4,4,1,2,2,3,4,3,1,1,75,0,80,0,5,5,1,1,-1,6,2,80,3,1,1,3,2,6,4,5,2,2,5,4,1,1,2,0,2,3,2,2,3
3,3,3,NA,3,3,6,4,1,1,4,7,1,4,7,4,4,3,1,3,2,4,4,5,1,1,40,5,70,0,3,5,1,1,-1,36,2,24,6,6,4,1,1,21,2,5,5,1,4,4,1,3,3,1,2,1,2,2,4
3,3,2,1,NA,7,NA,7,4,7,1,5,7,1,7,2,5,4,4,1,3,3,1,3,4,4,0,100,50,50,3,1,NA,2,-1,4,1,55,1,7,5,1,1,15,6,1,1,2,1,1,3,4,3,1,2,3,2,1,3
3,3,1,2,NA,2,5,7,4,4,1,6,1,1,7,2,4,4,1,3,1,1,4,5,7,1,0,15,50,0,4,3,NA,NA,-1,6,1,59,1,1,1,3,2,6,NA,3,2,2,1,4,3,4,2,0,2,3,2,2,1
3,3,1,1,NA,1,5,4,1,3,3,7,2,2,7,4,5,4,1,2,2,3,4,5,1,1,85,0,85,0,4,5,1,1,-1,13,2,73,1,6,4,1,1,5,2,5,4,2,5,4,3,2,2,0,2,3,1,2,3
3,3,3,NA,1,5,NA,2,6,6,4,6,6,4,5,2,5,2,2,1,5,2,1,3,7,4,0,100,15,85,3,4,2,1,-1,37,3,72,3,1,1,1,2,5,NA,4,1,2,1,1,3,4,3,0,2,3,2,2,2
3,3,3,NA,1,5,5,4,4,5,3,4,3,2,5,4,3,3,3,2,2,2,3,3,4,2,50,60,30,50,3,3,2,1,-1,51,4,50,1,6,4,1,1,20,5,3,5,2,5,2,3,3,3,0,2,3,2,2,2
3,3,2,2,NA,6,6,5,1,3,3,7,1,3,7,4,4,3,2,3,4,3,4,5,1,2,70,NA,75,0,3,5,1,1,-1,36,1,66,1,8,5,1,1,22,5,5,3,2,5,4,1,2,2,0,1,3,1,2,3
3,3,1,1,NA,1,NA,4,7,4,3,7,4,4,1,4,3,4,1,2,2,2,4,4,4,1,70,0,85,0,2,5,1,1,-1,4,3,41,1,2,2,3,1,15,4,5,4,2,6,4,1,2,2,0,2,1,2,2,2
3,3,3,NA,2,4,7,4,7,NA,7,3,NA,3,5,3,5,2,3,1,4,4,4,3,4,4,0,85,15,NA,3,3,NA,NA,-1,15,4,52,5,2,2,4,2,1,NA,3,2,2,1,4,3,4,1,1,2,3,2,2,4
3,3,NA,NA,2,4,1,7,7,7,1,1,1,1,1,4,1,3,2,NA,3,3,4,5,4,1,0,0,0,0,4,5,NA,NA,-1,8,2,45,4,3,3,5,1,13,4,5,5,2,NA,4,3,4,3,0,1,3,2,2,3
3,3,1,1,NA,1,4,5,1,5,3,7,1,3,7,5,4,4,1,3,2,4,4,5,3,1,85,0,100,0,4,5,1,1,-1,16,1,46,6,7,5,1,2,4,2,5,5,2,4,3,1,2,1,1,2,3,2,2,4
3,3,2,1,NA,7,4,7,4,7,3,7,5,2,5,2,2,4,2,2,5,1,1,3,7,4,0,100,NA,100,2,2,2,1,-1,55,2,66,1,6,4,1,1,20,6,2,3,1,1,1,2,4,1,0,1,3,1,2,1
3,3,1,2,NA,2,5,5,1,3,4,7,1,1,7,4,5,4,1,2,2,4,4,5,4,1,85,0,100,0,4,5,1,1,-1,36,2,60,4,8,5,1,2,20,2,5,3,2,6,4,1,1,2,0,2,1,1,2,4
3,3,2,1,NA,7,4,4,4,7,5,5,NA,4,4,2,4,2,2,1,5,2,1,3,7,2,0,85,30,85,3,5,2,1,-1,48,4,73,1,6,4,1,2,10,NA,5,1,2,1,1,3,3,2,0,2,3,1,2,2
3,3,1,1,NA,1,7,7,1,1,5,7,6,4,2,1,3,1,1,1,3,4,4,5,6,4,60,15,100,40,3,4,1,1,-1,17,3,71,1,5,3,2,2,9,NA,4,1,2,1,4,1,4,2,0,1,3,1,2,4
3,3,3,NA,3,3,6,4,1,3,5,7,2,4,7,4,5,4,4,3,2,5,4,4,4,1,40,0,60,0,4,4,1,1,-1,39,2,28,6,8,5,1,2,3,1,4,5,2,4,4,1,2,2,1,2,1,2,2,5
3,3,1,1,NA,1,7,6,1,1,2,7,1,2,7,4,5,4,1,3,3,1,4,5,4,4,85,0,100,0,3,5,1,1,-1,5,1,73,1,7,5,1,2,8,1,5,5,2,6,4,1,1,2,0,2,1,2,2,1
3,3,2,1,NA,7,4,7,5,6,2,3,5,1,5,NA,-9,4,2,2,4,2,1,3,7,4,0,100,15,100,3,4,2,1,-1,13,1,NA,1,6,4,1,1,NA,6,4,3,2,5,1,2,3,3,1,2,3,1,2,2
3,3,2,1,NA,7,2,7,1,5,1,7,4,3,5,NA,-9,4,2,2,5,2,3,4,6,4,15,70,15,70,1,1,2,1,-1,48,4,37,1,6,4,1,2,19,6,1,2,2,2,2,1,4,3,0,2,3,2,2,2
3,3,1,1,NA,1,7,5,4,3,2,6,3,4,6,1,5,3,2,1,2,3,4,4,4,1,80,5,100,10,4,5,1,1,-1,42,3,56,6,5,3,2,2,4,4,5,1,2,3,4,1,1,3,1,2,3,2,2,3
